,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,cap malheureux,MU,1635270792,-19.9842,57.6142,74.46,68,5,8.01,clear sky
315,leningradskiy,RU,1635270993,69.3833,178.4167,9.28,94,100,22.26,light snow
316,tsuyama,JP,1635270993,35.05,134.0,53.35,92,84,2.44,broken clouds
317,lhokseumawe,ID,1635270993,5.1801,97.1507,78.73,86,91,4.32,overcast clouds
318,atasu,KZ,1635270994,48.6814,71.6433,39.07,92,100,13.02,overcast clouds
319,lucapa,AO,1635270994,-8.4192,20.7447,70.36,86,92,3.47,light rain
320,sao joao do piaui,BR,1635270994,-8.3581,-42.2467,99.18,23,11,12.15,few clouds
321,bol,TD,1635270995,13.4586,14.7147,87.44,37,32,9.89,scattered clouds
322,kailua,US,1635270995,21.4022,-157.7394,79.07,71,20,4.61,few clouds
323,kendrapara,IN,1635270995,20.5042,86.416,77.41,84,15,5.37,few clouds
324,mandya,IN,1635270995,12.5242,76.8958,71.65,86,95,3.69,overcast clouds
325,matara,LK,1635270996,5.9485,80.5353,77.67,87,100,5.46,heavy intensity rain
326,togur,RU,1635270979,58.3631,82.8265,30.81,82,100,23.31,overcast clouds
327,poum,NC,1635270996,-20.2333,164.0167,73.89,75,91,5.17,overcast clouds
328,kangaatsiaq,GL,1635270700,68.3065,-53.4641,18.25,76,38,9.35,scattered clouds
329,hambantota,LK,1635270996,6.1241,81.1185,76.48,89,100,7.31,overcast clouds
330,iranshahr,IR,1635270997,27.2025,60.6848,77.34,27,0,4.61,clear sky
331,rosario oeste,BR,1635270997,-14.8361,-56.4275,94.35,40,66,3.04,broken clouds
332,potoru,SL,1635270997,7.5072,-11.4786,77.16,90,98,3.83,light rain
333,saskylakh,RU,1635270998,71.9167,114.0833,1.2,98,100,1.25,overcast clouds
334,dudinka,RU,1635270998,69.4058,86.1778,10.96,96,87,5.68,overcast clouds
335,kaura namoda,NG,1635270998,12.5898,6.5779,88.63,21,55,7.56,broken clouds
336,santa cruz de la palma,ES,1635270998,28.6835,-17.7642,73.54,60,40,16.11,scattered clouds
337,nicholasville,US,1635270999,37.8806,-84.573,56.55,57,55,9.93,broken clouds
338,melfi,IT,1635270999,40.9965,15.6514,57.49,76,100,3.85,overcast clouds
339,svetlogorsk,BY,1635270999,52.6333,29.7333,42.64,52,75,10.31,broken clouds
340,avera,US,1635271000,33.194,-82.5271,70.45,42,0,8.52,clear sky
341,oxford,GB,1635270996,51.7522,-1.256,60.4,90,75,1.01,broken clouds
342,comodoro rivadavia,AR,1635270959,-45.8667,-67.5,75.06,23,0,31.07,clear sky
343,okhotsk,RU,1635271000,59.3833,143.3,21.87,85,100,6.49,overcast clouds
344,yaan,NG,1635271000,7.3833,8.5667,77.41,86,56,5.26,broken clouds
345,kuttigen,CH,1635271001,47.4167,8.05,53.76,91,48,1.32,scattered clouds
346,krasnyy chikoy,RU,1635271001,50.3643,108.7512,31.03,78,0,3.13,clear sky
347,tulun,RU,1635271001,54.5611,100.5792,41.32,60,92,9.93,overcast clouds
348,tambovka,RU,1635271002,50.0969,128.0489,30.31,78,34,5.93,scattered clouds
349,waipawa,NZ,1635271002,-41.4122,175.5153,56.44,86,100,8.39,overcast clouds
350,sabang,ID,1635271002,5.8933,95.3214,81.88,74,60,11.65,heavy intensity rain
351,dingle,PH,1635271003,10.9995,122.6711,75.72,93,81,6.6,broken clouds
352,anloga,GH,1635271003,5.7947,0.8973,80.82,78,100,11.27,overcast clouds
353,sambava,MG,1635270952,-14.2667,50.1667,74.57,80,6,14.16,clear sky
354,san jose de las lajas,CU,1635271003,22.9614,-82.1511,86.23,57,77,5.39,broken clouds
355,jaumave,MX,1635271004,23.4167,-99.3833,77.95,41,39,4.45,scattered clouds
356,cukai,MY,1635271004,4.25,103.4167,78.75,89,84,3.15,broken clouds
357,englehart,CA,1635271004,47.8169,-79.8664,41.56,75,90,19.57,overcast clouds
358,roma,US,1635271004,43.2128,-75.4557,54.95,95,90,3.44,moderate rain
359,yar-sale,RU,1635271005,66.8333,70.8333,15.53,91,51,5.75,broken clouds
360,lakhdenpokhya,RU,1635271005,61.5198,30.1992,44.82,94,100,11.3,overcast clouds
361,toora-khem,RU,1635271005,52.4675,96.11,32.14,66,69,2.3,broken clouds
362,port lincoln,AU,1635271006,-34.7333,135.8667,72.93,33,46,18.5,scattered clouds
363,teluknaga,ID,1635271006,-6.0989,106.6381,82.63,88,20,8.01,haze
364,poronaysk,RU,1635271006,49.2167,143.1167,38.07,78,0,3.11,clear sky
365,norman wells,CA,1635270800,65.282,-126.8329,28.44,86,90,0.0,overcast clouds
366,lerwick,GB,1635271007,60.1545,-1.1494,51.8,95,100,26.37,overcast clouds
367,birin,NP,1635271007,26.8865,88.0718,53.58,86,0,5.08,clear sky
368,kushima,JP,1635271007,31.4583,131.2333,56.12,85,88,4.38,overcast clouds
369,luanda,AO,1635271006,-8.8368,13.2343,77.0,78,40,11.5,scattered clouds
370,hokitika,NZ,1635271008,-42.7167,170.9667,55.96,93,100,2.19,overcast clouds
371,cascais,PT,1635270962,38.6979,-9.4215,72.75,49,0,3.0,clear sky
372,tigil,RU,1635270805,57.8,158.6667,31.23,99,100,1.92,snow
373,do gonbadan,IR,1635271008,30.3586,50.7981,69.89,23,0,0.0,clear sky
374,mola di bari,IT,1635271009,41.0609,17.0873,63.91,68,69,3.91,broken clouds
375,oranjemund,NA,1635271009,-28.55,16.4333,62.35,85,5,7.47,clear sky
376,pustoshka,RU,1635271009,56.3355,29.369,40.64,78,100,9.01,overcast clouds
377,san carlos,VE,1635270870,9.6612,-68.5827,86.7,60,92,4.23,overcast clouds
378,miguel auza,MX,1635271010,24.2933,-103.4503,73.02,36,32,14.72,scattered clouds
379,ahipara,NZ,1635270826,-35.1667,173.1667,60.96,94,97,5.41,overcast clouds
380,baykalsk,RU,1635271010,51.5058,104.1469,41.32,71,3,8.03,clear sky
381,buala,SB,1635270593,-8.145,159.5921,80.29,83,100,7.7,overcast clouds
382,greensboro,US,1635270767,36.0726,-79.792,68.05,57,20,21.85,few clouds
383,koslan,RU,1635271010,63.4564,48.8989,26.89,85,95,6.8,overcast clouds
384,tukrah,LY,1635271011,32.5341,20.5791,72.7,68,4,5.37,clear sky
385,stockach,DE,1635271011,47.85,9.0167,53.2,91,48,0.47,scattered clouds
386,isla vista,US,1635270953,34.4133,-119.861,69.78,58,0,1.01,clear sky
387,empoli,IT,1635271011,43.7175,10.9414,59.52,69,84,1.01,broken clouds
388,salta,AR,1635271012,-24.7859,-65.4117,88.57,13,20,11.01,few clouds
389,montrose,US,1635271012,38.4166,-108.2673,42.21,89,89,15.88,snow
390,pangoa,PE,1635271012,-12.1167,-73.0,83.53,53,86,3.44,overcast clouds
391,elk city,US,1635271013,35.412,-99.4043,77.22,69,90,21.85,overcast clouds
392,paamiut,GL,1635271013,61.994,-49.6678,36.39,54,0,9.95,clear sky
393,san cristobal,VE,1635270827,7.7669,-72.225,77.18,52,98,7.14,overcast clouds
394,port blair,IN,1635270609,11.6667,92.75,80.69,82,73,6.8,broken clouds
395,lake city,US,1635271013,30.1897,-82.6393,84.92,41,1,13.8,clear sky
396,bengkulu,ID,1635270303,-3.8004,102.2655,76.03,90,100,5.23,overcast clouds
397,nome,US,1635271014,64.5011,-165.4064,18.43,85,83,5.06,broken clouds
398,tecoanapa,MX,1635271014,16.5167,-98.75,84.31,72,44,7.4,scattered clouds
399,celestun,MX,1635271014,20.8667,-90.4,88.84,60,100,4.23,overcast clouds
400,anadyr,RU,1635271015,64.75,177.4833,-1.7,84,0,6.71,clear sky
401,biak,ID,1635271015,-0.9131,122.8766,76.91,84,87,0.98,overcast clouds
402,northam,GB,1635271015,51.0333,-4.2167,59.67,90,85,17.49,overcast clouds
403,fairbanks,US,1635271016,64.8378,-147.7164,29.1,95,90,0.0,mist
404,beyneu,KZ,1635271016,45.3167,55.2,42.85,54,15,9.26,few clouds
405,bara,NG,1635271016,10.3744,10.7288,85.57,49,47,3.51,scattered clouds
406,vila velha,BR,1635271016,-20.3297,-40.2925,78.75,78,75,11.5,broken clouds
407,vao,NC,1635270608,-22.6667,167.4833,71.98,85,100,13.35,overcast clouds
408,epe,NG,1635271017,6.5841,3.9834,78.69,86,68,4.88,broken clouds
409,waw,SS,1635271017,7.7029,27.9953,73.45,78,94,5.03,light rain
410,christchurch,NZ,1635270729,-43.5333,172.6333,55.02,92,75,1.01,mist
411,lovozero,RU,1635271017,68.005,35.0117,25.66,95,100,13.71,light snow
412,ust-nera,RU,1635271018,64.5667,143.2,6.49,98,98,2.93,overcast clouds
413,shestakovo,RU,1635271018,56.4915,103.96,32.0,93,83,3.94,broken clouds
414,okha,RU,1635271018,53.5739,142.9478,35.91,88,96,6.24,overcast clouds
415,cabra,ES,1635271019,37.4725,-4.4421,69.24,48,83,3.4,broken clouds
416,bilibino,RU,1635271019,68.0546,166.4372,-14.78,100,100,0.92,overcast clouds
417,black river,JM,1635271019,18.0264,-77.8487,86.99,61,83,7.29,broken clouds
418,aksu,CN,1635271020,41.1231,80.2644,51.3,36,100,2.64,overcast clouds
419,jishou,CN,1635271020,28.3167,109.7167,54.88,84,57,2.21,broken clouds
420,esso,RU,1635271020,55.9333,158.7,22.15,97,82,4.92,broken clouds
421,halifax,CA,1635271021,44.6453,-63.5724,56.34,79,90,5.99,overcast clouds
422,escanaba,US,1635271021,45.7453,-87.0646,49.96,66,88,3.0,overcast clouds
423,belaya gora,RU,1635271022,68.5333,146.4167,-9.27,100,80,2.39,broken clouds
424,beringovskiy,RU,1635270807,63.05,179.3167,9.41,98,100,24.4,light snow
425,katherine,AU,1635271023,-14.4667,132.2667,84.52,65,12,5.75,few clouds
426,canto do buriti,BR,1635271023,-8.11,-42.9444,99.03,22,5,8.61,clear sky
427,cockburn town,TC,1635270926,21.4612,-71.1419,85.96,66,20,11.5,few clouds
428,te anau,NZ,1635270595,-45.4167,167.7167,49.46,94,98,0.45,overcast clouds
429,atherton,GB,1635270809,53.5237,-2.4935,61.29,78,99,1.99,overcast clouds
430,mildura,AU,1635271023,-34.2,142.15,57.16,30,1,6.91,clear sky
431,sivaki,RU,1635271024,52.6333,126.75,33.37,85,74,4.41,broken clouds
432,dhidhdhoo,MV,1635271024,6.8833,73.1,81.93,75,91,11.43,overcast clouds
433,boa vista,BR,1635270988,2.8197,-60.6733,78.78,78,75,1.14,light rain
434,concepcion del uruguay,AR,1635271025,-32.4825,-58.2372,97.99,24,0,1.01,clear sky
435,rocha,UY,1635270788,-34.4833,-54.3333,84.47,47,0,12.95,clear sky
436,noumea,NC,1635271025,-22.2763,166.4572,73.99,99,100,5.37,overcast clouds
437,turukhansk,RU,1635271025,65.8167,87.9833,21.63,80,100,21.0,overcast clouds
438,arona,ES,1635271025,28.0996,-16.681,70.11,65,75,21.85,broken clouds
439,amazar,RU,1635271026,53.858,120.875,30.56,84,80,3.06,broken clouds
440,kyzyl-suu,KG,1635270747,42.3414,78.0056,40.71,49,100,5.77,overcast clouds
441,makakilo city,US,1635271009,21.3469,-158.0858,77.61,69,6,12.03,clear sky
442,komatipoort,ZA,1635271026,-25.4332,31.9548,70.05,85,63,5.55,broken clouds
443,deputatskiy,RU,1635271027,69.3,139.9,-5.37,99,99,0.74,overcast clouds
444,merauke,ID,1635271027,-8.4667,140.3333,78.31,86,100,11.36,overcast clouds
445,bantry,IE,1635271027,51.6833,-9.45,62.55,93,99,19.48,overcast clouds
446,santa rosa,PH,1635271028,14.3122,121.1114,80.11,88,100,7.14,overcast clouds
447,atar,MR,1635271028,20.5169,-13.0499,94.64,19,80,14.0,broken clouds
448,eureka,US,1635271028,40.8021,-124.1637,57.92,77,100,8.01,overcast clouds
449,parrita,CR,1635270946,9.5201,-84.3225,94.77,72,80,6.69,broken clouds
450,marzuq,YE,1635271029,14.4,46.4667,72.75,57,4,4.43,clear sky
451,abu dhabi,AE,1635270736,24.4667,54.3667,86.11,48,0,9.22,clear sky
452,henties bay,NA,1635271029,-22.116,14.2845,61.86,84,58,7.45,broken clouds
453,hualmay,PE,1635270934,-11.0964,-77.6139,69.12,68,69,10.2,broken clouds
454,singapore,SG,1635271026,1.2897,103.8501,80.55,88,75,2.3,broken clouds
455,vung tau,VN,1635271030,10.346,107.0843,77.0,86,100,8.93,moderate rain
456,saint-denis,FR,1635271030,48.9167,2.3333,58.1,81,0,1.01,clear sky
457,sao joao da barra,BR,1635271031,-21.6403,-41.0511,80.69,94,100,5.23,overcast clouds
458,cururupu,BR,1635271031,-1.8283,-44.8683,88.0,53,67,8.37,broken clouds
459,tuatapere,NZ,1635271031,-46.1333,167.6833,52.75,97,99,2.17,overcast clouds
460,lady frere,ZA,1635271031,-31.7031,27.2329,58.86,83,56,7.61,broken clouds
461,kurilsk,RU,1635271032,45.2333,147.8833,49.37,85,100,5.88,moderate rain
462,bonthe,SL,1635271032,7.5264,-12.505,79.3,79,89,6.24,overcast clouds
463,severodvinsk,RU,1635271032,64.5635,39.8302,28.51,98,100,9.08,snow
464,berlevag,NO,1635270797,70.8578,29.0864,33.75,69,75,29.93,light shower snow
465,mogadishu,SO,1635270778,2.0371,45.3438,80.19,83,22,13.65,few clouds
466,myitkyina,MM,1635271033,25.3833,97.4,68.02,87,0,1.48,clear sky
467,verkhnevilyuysk,RU,1635271033,63.4453,120.3167,23.47,91,89,8.55,overcast clouds
468,kabinda,CD,1635271033,-6.1333,24.4833,69.35,92,84,4.25,moderate rain
469,bonavista,CA,1635271034,48.6499,-53.1147,45.12,71,61,12.75,broken clouds
470,tabou,CI,1635271034,4.423,-7.3528,78.1,85,97,7.05,overcast clouds
471,chapaevsk,RU,1635271035,52.9813,49.7112,34.81,60,50,11.27,scattered clouds
472,cabedelo,BR,1635271035,-6.9811,-34.8339,77.67,63,9,16.42,clear sky
473,columbus,US,1635271020,39.9612,-82.9988,55.47,64,40,7.0,scattered clouds
474,izhma,RU,1635271035,65.0083,53.9113,17.62,96,19,3.33,few clouds
475,choma,ZM,1635271036,-16.8065,26.9531,75.45,35,21,4.81,few clouds
476,gizo,SB,1635271036,-8.103,156.8419,81.09,74,83,6.26,broken clouds
477,mokhotlong,LS,1635271036,-29.2894,29.0675,56.21,67,40,8.16,scattered clouds
478,simao,CN,1635271037,22.7886,100.9748,59.86,99,21,1.9,light rain
479,ischia,IT,1635271037,40.7342,13.9471,66.38,69,100,8.3,overcast clouds
480,kiama,AU,1635271037,-34.6833,150.8667,61.0,88,48,3.13,scattered clouds
481,la rochelle,FR,1635271037,46.1667,-1.15,56.88,86,93,2.35,overcast clouds
482,aberdeen,GB,1635271038,57.1437,-2.0981,59.49,91,40,17.27,scattered clouds
483,aswan,EG,1635271038,24.0934,32.907,88.9,25,0,10.36,clear sky
484,merritt,CA,1635271038,50.1123,-120.7942,47.44,76,93,7.61,overcast clouds
485,bandarbeyla,SO,1635270831,9.4942,50.8122,78.55,77,3,7.9,clear sky
486,sabha,LY,1635271039,27.0377,14.4283,75.34,21,3,8.3,clear sky
487,wanxian,CN,1635271039,30.8039,108.3897,60.12,91,100,1.99,overcast clouds
488,high level,CA,1635271039,58.5169,-117.136,35.71,100,90,3.44,fog
489,magalia,US,1635271040,39.8121,-121.5783,52.14,86,91,3.0,overcast clouds
490,rosarito,MX,1635271040,32.3333,-117.0333,66.78,60,57,5.79,broken clouds
491,pochutla,MX,1635271040,15.7432,-96.4661,91.81,55,20,6.15,few clouds
492,chicama,PE,1635270803,-7.8447,-79.1469,61.34,57,57,10.33,broken clouds
493,buraydah,SA,1635271040,26.326,43.975,84.65,18,1,9.71,clear sky
494,srednekolymsk,RU,1635271041,67.45,153.6833,-9.8,100,59,2.75,broken clouds
495,lichinga,MZ,1635271041,-13.3128,35.2406,73.49,56,20,10.36,few clouds
496,samfya,ZM,1635271041,-11.3649,29.5565,83.79,31,57,5.14,broken clouds
497,sinnamary,GF,1635271042,5.3833,-52.95,82.15,82,79,9.8,broken clouds
498,cap-aux-meules,CA,1635271042,47.3821,-61.8597,51.85,66,75,8.05,broken clouds
499,uarini,BR,1635271042,-2.99,-65.1083,84.15,59,96,3.76,overcast clouds
500,langarud,IR,1635271043,37.197,50.1535,55.38,91,100,6.98,overcast clouds
501,mount isa,AU,1635270729,-20.7333,139.5,71.37,56,76,0.0,broken clouds
502,nizwa,OM,1635271043,22.9333,57.5333,82.72,31,17,5.37,few clouds
503,half moon bay,US,1635270954,37.4636,-122.4286,63.21,78,75,1.99,mist
504,kargasok,RU,1635270798,59.0556,80.8572,27.88,87,100,25.75,light snow
505,bairiki,KI,1635271043,1.3292,172.9752,80.6,83,20,1.14,few clouds
506,torbay,CA,1635270609,47.6666,-52.7314,44.58,74,90,11.5,overcast clouds
507,shar,KZ,1635271044,49.5886,81.0453,46.58,50,30,9.98,scattered clouds
508,khandyga,RU,1635271044,62.6667,135.6,25.81,98,100,2.24,overcast clouds
509,morant bay,JM,1635271045,17.8815,-76.4093,86.63,64,88,9.42,overcast clouds
510,nioro,GM,1635271045,13.35,-15.75,88.92,58,61,2.06,broken clouds
511,port arthur,CN,1635271045,38.8,121.2667,59.92,75,0,16.96,light rain
512,andenes,NO,1635271046,69.3143,16.1194,35.58,87,75,17.27,broken clouds
513,ternate,ID,1635271046,0.8,127.4,80.94,79,99,3.42,overcast clouds
514,biskamzha,RU,1635271046,53.4497,89.5272,37.87,85,88,5.73,overcast clouds
515,estevan,CA,1635271047,49.1334,-102.9842,46.74,93,90,9.22,mist
516,saint-leu,RE,1635271047,-21.15,55.2833,72.46,76,19,3.78,few clouds
517,santiago de cuba,CU,1635271047,20.0247,-75.8219,86.52,78,48,4.76,scattered clouds
518,qinhuangdao,CN,1635271048,39.9317,119.5883,51.48,39,0,6.85,clear sky
519,phek,IN,1635271048,25.6667,94.5,54.05,96,69,1.59,broken clouds
520,puerto del rosario,ES,1635270827,28.5004,-13.8627,73.15,68,20,19.57,few clouds
521,moshupa,BW,1635271048,-24.7782,25.4155,79.21,51,3,13.04,clear sky
522,les cayes,HT,1635271048,18.2,-73.75,86.81,55,82,11.41,broken clouds
523,tecuala,MX,1635271049,22.3986,-105.4569,87.06,58,30,4.32,scattered clouds
524,hwange,ZW,1635271049,-18.3693,26.5019,85.55,35,28,3.67,scattered clouds
525,castro verde,PT,1635271050,37.6983,-8.0858,74.62,34,0,4.61,clear sky
526,kalemie,CD,1635271050,-5.9475,29.1947,76.84,64,75,2.15,broken clouds
527,storforshei,NO,1635271050,66.4043,14.5233,40.66,100,75,2.3,fog
528,otavi,NA,1635271051,-19.65,17.3333,83.89,14,54,5.39,broken clouds
529,ishigaki,JP,1635271051,24.3448,124.1572,77.31,61,89,13.71,overcast clouds
530,surt,LY,1635270852,31.2089,16.5887,74.75,63,12,7.9,few clouds
531,gazipur,BD,1635271052,23.9981,90.423,80.56,74,40,0.0,haze
532,tabas,IR,1635271052,33.5959,56.9244,64.13,20,0,2.77,clear sky
533,adrar,MR,1635271052,20.5022,-10.0711,91.35,15,66,8.28,broken clouds
534,mackay,AU,1635270805,-21.15,149.2,73.04,94,75,0.0,broken clouds
535,dehloran,IR,1635271053,32.6941,47.2679,72.25,16,0,2.04,clear sky
536,thanh hoa,VN,1635271053,19.8,105.7667,67.71,86,17,4.45,few clouds
